epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,896.059,0.70481,0.54189,1.0664,0.9646,0.81208,0.84734,0.83542,0.548,1.688,0.90675,0.0011684,0.0011684,0.0011684
44,916.825,0.70809,0.54386,1.0671,0.96789,0.81208,0.85815,0.84021,0.51779,1.84697,0.84196,0.0011486,0.0011486,0.0011486
45,937.622,0.71338,0.55006,1.07297,0.97464,0.81208,0.86643,0.83871,0.57449,1.96722,0.90872,0.0011288,0.0011288,0.0011288
46,958.472,0.71046,0.54682,1.07359,0.97474,0.77852,0.85411,0.83152,0.49128,1.82154,0.80415,0.001109,0.001109,0.001109
47,979.174,0.69678,0.53645,1.06997,0.97402,0.81208,0.8566,0.82983,0.56364,1.84809,0.89149,0.0010892,0.0010892,0.0010892
48,1000,0.70302,0.53011,1.06985,0.96657,0.81208,0.86311,0.84026,0.51828,1.75416,0.82571,0.0010694,0.0010694,0.0010694
49,1020.89,0.70147,0.54146,1.06914,0.96481,0.81208,0.85786,0.83804,0.47121,1.88762,0.78648,0.0010496,0.0010496,0.0010496
50,1041.72,0.70095,0.53903,1.07259,0.9666,0.81208,0.84435,0.82661,0.4955,1.78822,0.85774,0.0010298,0.0010298,0.0010298
51,1062.58,0.70476,0.53422,1.06711,0.98102,0.77852,0.8546,0.83331,0.44783,2.33008,0.78988,0.00101,0.00101,0.00101
52,1083.19,0.7031,0.53868,1.06713,0.96587,0.81208,0.85016,0.83254,0.43845,1.65421,0.78276,0.0009902,0.0009902,0.0009902
53,1104.05,0.69094,0.51936,1.05879,0.95676,0.81208,0.85153,0.83549,0.49744,1.62004,0.8084,0.0009704,0.0009704,0.0009704
54,1124.81,0.68342,0.51945,1.06017,0.96626,0.81208,0.86307,0.84423,0.44414,1.86184,0.79669,0.0009506,0.0009506,0.0009506
55,1145.47,0.67996,0.52211,1.05741,0.96586,0.81208,0.8632,0.84243,0.50378,1.53315,0.85867,0.0009308,0.0009308,0.0009308
56,1166.36,0.68683,0.52154,1.05748,0.9659,0.81208,0.86017,0.8441,0.40111,1.78487,0.79107,0.000911,0.000911,0.000911
57,1187.16,0.68884,0.52747,1.0591,0.96559,0.81208,0.85178,0.8408,0.40523,1.68811,0.789,0.0008912,0.0008912,0.0008912
58,1207.9,0.6927,0.53215,1.05943,0.96604,0.81208,0.8611,0.84084,0.52401,1.68878,0.81783,0.0008714,0.0008714,0.0008714
59,1228.66,0.66638,0.50973,1.04696,0.96387,0.81208,0.85238,0.8242,0.49265,1.80734,0.83791,0.0008516,0.0008516,0.0008516
60,1249.38,0.68043,0.53019,1.05934,0.99865,0.75839,0.85022,0.82977,0.47468,1.86688,0.80448,0.0008318,0.0008318,0.0008318
61,1270.2,0.67066,0.50986,1.05092,0.96561,0.81208,0.85259,0.83787,0.46196,1.77004,0.80077,0.000812,0.000812,0.000812
62,1291.13,0.68333,0.53251,1.0603,0.95967,0.79854,0.86179,0.84395,0.45981,2.09104,0.79186,0.0007922,0.0007922,0.0007922
63,1311.83,0.67983,0.5269,1.05493,0.96103,0.81208,0.86205,0.84456,0.40322,2.0154,0.75437,0.0007724,0.0007724,0.0007724
64,1332.65,0.67337,0.51868,1.05506,0.96603,0.81208,0.8634,0.84061,0.47629,2.03882,0.82783,0.0007526,0.0007526,0.0007526
