epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,106.534,0.33624,0.25502,0.9353,0.01878,0.89227,0.93717,0.92326,0.7538,0.96646,0.62356,1.46246,0.12185,0.00107288,0.00107288,0.00107288
38,109.397,0.33989,0.25552,0.93693,0.01817,0.86818,0.9515,0.91012,0.75203,0.95416,0.64274,1.43203,0.1086,0.00105638,0.00105638,0.00105638
39,112.233,0.337,0.25573,0.93226,0.01816,0.87189,0.95387,0.91019,0.7455,0.9487,0.65804,1.41835,0.11051,0.00103987,0.00103987,0.00103987
40,115.07,0.33819,0.2573,0.93456,0.01843,0.879,0.95119,0.91264,0.74869,0.88707,0.67091,1.39643,0.10462,0.00102337,0.00102337,0.00102337
41,117.891,0.33538,0.25478,0.93393,0.01807,0.86566,0.95907,0.92789,0.76713,0.88092,0.6425,1.3749,0.10281,0.00100687,0.00100687,0.00100687
42,120.801,0.32318,0.24701,0.93091,0.01782,0.88971,0.93897,0.90539,0.74504,0.91092,0.6229,1.39476,0.10154,0.000990365,0.000990365,0.000990365
43,123.66,0.33038,0.25107,0.92881,0.01715,0.89206,0.93234,0.91577,0.74777,0.95001,0.63004,1.44587,0.12653,0.000973861,0.000973861,0.000973861
44,126.545,0.3206,0.245,0.92726,0.01667,0.87124,0.94947,0.9084,0.7471,0.94638,0.62632,1.45019,0.11401,0.000957358,0.000957358,0.000957358
45,129.396,0.33143,0.24771,0.92785,0.01699,0.88385,0.93201,0.91917,0.75031,0.94039,0.63947,1.42155,0.10679,0.000940855,0.000940855,0.000940855
46,132.311,0.32829,0.24693,0.92856,0.01604,0.88597,0.94451,0.92165,0.76837,0.92007,0.63614,1.38314,0.11419,0.000924352,0.000924352,0.000924352
47,135.173,0.32445,0.24241,0.92682,0.01743,0.88045,0.94772,0.93246,0.7617,0.95097,0.63698,1.44546,0.11667,0.000907848,0.000907848,0.000907848
48,138.051,0.32441,0.24461,0.92709,0.01656,0.88671,0.93364,0.93048,0.76892,0.94794,0.63703,1.42962,0.11689,0.000891345,0.000891345,0.000891345
49,141.014,0.32657,0.24354,0.9286,0.01747,0.87681,0.91925,0.9062,0.74207,0.92744,0.66818,1.42317,0.10908,0.000874842,0.000874842,0.000874842
