epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,200.487,0.52975,0.99872,0.42184,0.87666,0,0.96423,0.9678,0.98839,0.89577,0.96423,0.9678,0.98839,0.83382,0.4436,0.90521,0.31843,0.82495,0,0.0014654,0.0014654,0.0014654
29,207.864,0.53049,1.01279,0.41613,0.87791,0,0.96781,0.98136,0.98676,0.89903,0.9628,0.97627,0.98456,0.81492,0.43283,0.88937,0.30862,0.81956,0,0.0014456,0.0014456,0.0014456
30,215.037,0.54045,1.00828,0.4205,0.87814,0,0.95317,0.96602,0.98798,0.89847,0.94648,0.95924,0.98145,0.82272,0.44163,0.91256,0.34388,0.82616,0,0.0014258,0.0014258,0.0014258
31,222.171,0.53701,1.01183,0.40635,0.88895,0,0.97629,0.97687,0.98845,0.89575,0.9712,0.97179,0.9857,0.82609,0.46431,0.94316,0.30412,0.832,0,0.001406,0.001406,0.001406
32,229.236,0.53341,1.00465,0.41172,0.88507,0,0.96073,0.98475,0.98841,0.8919,0.95577,0.97966,0.98731,0.82568,0.46775,0.91969,0.33578,0.83195,0,0.0013862,0.0013862,0.0013862
33,236.269,0.52702,0.99156,0.40022,0.881,0,0.97621,0.97359,0.98841,0.89495,0.97281,0.9702,0.9859,0.82391,0.45563,0.91551,0.30154,0.82797,0,0.0013664,0.0013664,0.0013664
34,243.296,0.51789,0.97685,0.40154,0.87463,0,0.9648,0.97551,0.98926,0.90662,0.96312,0.97382,0.98867,0.85316,0.43451,0.87094,0.30383,0.8245,0,0.0013466,0.0013466,0.0013466
35,250.293,0.53168,0.98402,0.39517,0.87944,0,0.97023,0.97458,0.99015,0.89661,0.96504,0.96949,0.98706,0.83655,0.4465,0.8796,0.29914,0.82628,0,0.0013268,0.0013268,0.0013268
36,257.283,0.522,1.01175,0.40839,0.88197,0,0.9701,0.96441,0.98769,0.89364,0.96248,0.95763,0.98163,0.83669,0.4584,0.86626,0.30997,0.83056,0,0.001307,0.001307,0.001307
37,264.297,0.52186,0.99765,0.40581,0.88341,0,0.97826,0.9661,0.99017,0.89857,0.97273,0.96102,0.98897,0.82841,0.45041,0.90997,0.28299,0.82864,0,0.0012872,0.0012872,0.0012872
38,271.303,0.51236,0.95409,0.38337,0.87594,0,0.96808,0.97966,0.9902,0.90368,0.9664,0.97797,0.98971,0.84193,0.44008,0.86708,0.29676,0.82484,0,0.0012674,0.0012674,0.0012674
39,278.295,0.51779,0.96811,0.39185,0.88199,0,0.96647,0.97119,0.98083,0.88924,0.96478,0.96949,0.98026,0.81491,0.44569,0.87691,0.32446,0.82639,0,0.0012476,0.0012476,0.0012476
40,285.314,0.49423,0.94315,0.38392,0.87213,0,0.94411,0.98814,0.98584,0.90166,0.95139,0.97458,0.98534,0.82704,0.43261,0.88408,0.28863,0.82187,0,0.0012278,0.0012278,0.0012278
41,292.38,0.50435,0.94406,0.38057,0.8704,0,0.95976,0.98136,0.99059,0.9128,0.95313,0.97458,0.98403,0.85032,0.41808,0.83334,0.27988,0.81819,0,0.001208,0.001208,0.001208
42,299.417,0.50274,0.93011,0.37656,0.87195,0,0.96507,0.98348,0.99107,0.91026,0.96175,0.98025,0.98861,0.84223,0.41966,0.84401,0.28414,0.81665,0,0.0011882,0.0011882,0.0011882
43,306.42,0.49292,0.93205,0.37447,0.87072,0,0.96798,0.97367,0.98913,0.90131,0.96293,0.96858,0.9861,0.83268,0.43319,0.85768,0.28754,0.82215,0,0.0011684,0.0011684,0.0011684
44,313.43,0.49559,0.90849,0.36794,0.86681,0,0.97626,0.97571,0.98491,0.89933,0.97456,0.97401,0.98407,0.82544,0.42961,0.87146,0.27985,0.81833,0,0.0011486,0.0011486,0.0011486
